id,programa_id,nombre,descripcion,created_at,updated_at,deleted_at
190,96,2020C,CUATRIMESTRAL,2020/08/03 19:31,1900/01/01 00:00,1900/01/01 00:00
191,273,2016A,CUATRIMESTRAL,2020/08/04 13:47,1900/01/01 00:00,1900/01/01 00:00
192,273,2016B,CUATRIMESTRAL,2020/08/04 15:19,1900/01/01 00:00,1900/01/01 00:00
193,273,2016C,CUATRIMESTRAL,2020/08/06 13:15,1900/01/01 00:00,1900/01/01 00:00
194,273,2017A,CUATRIMESTRAL,2020/08/06 14:59,1900/01/01 00:00,1900/01/01 00:00
195,273,2017B,CUATRIMESTRAL,2020/08/06 15:48,1900/01/01 00:00,1900/01/01 00:00
196,273,2017C,CUATRIMESTRAL,2020/08/10 11:59,2020/10/09 11:46,1900/01/01 00:00
197,273,2018A,CUATRIMESTRAl,2020/08/10 13:12,2020/10/09 11:46,1900/01/01 00:00
198,194,2015A,SEMESTRAL,2020/08/20 17:23,1900/01/01 00:00,1900/01/01 00:00
199,194,2015B,SEMESTRAL,2020/08/20 17:24,1900/01/01 00:00,1900/01/01 00:00
200,197,2018B,SEMESTRE,2020/08/21 17:03,1900/01/01 00:00,1900/01/01 00:00
201,197,2019A,SEMESTRE,2020/08/21 17:25,1900/01/01 00:00,1900/01/01 00:00
202,197,2019B,SEMESTRE,2020/08/27 18:04,1900/01/01 00:00,1900/01/01 00:00
203,210,2020C,CUATRIMESTRAL,2020/08/28 17:21,1900/01/01 00:00,1900/01/01 00:00
204,208,2020C,CUATRIMESTRAL,2020/08/28 17:21,1900/01/01 00:00,1900/01/01 00:00
205,206,2020C,CUATRIMESTRAL,2020/08/28 17:22,1900/01/01 00:00,1900/01/01 00:00
206,193,2020A,SEMESTRE,2020/09/08 19:04,1900/01/01 00:00,1900/01/01 00:00
207,197,2020A,SEMESTRAL,2020/09/12 09:19,1900/01/01 00:00,1900/01/01 00:00
208,296,2020B,SEMESTRAL,2020/09/14 13:40,1900/01/01 00:00,1900/01/01 00:00
209,72,2020B,SEMESTRAL,2020/09/14 13:55,1900/01/01 00:00,1900/01/01 00:00
