id,municipio_id,estado_id,calle,numero_exterior,numero_interior,colonia,codigo_postal,latitud,longitud,created_at,updated_at,deleted_at
212,532,14,SIN DATO,0,0,SIN DATO,0,0,0,2020/03/13 11:35,2020/06/25 12:31
213,532,14,Pedro Moreno,633,n/a,Centro,44100,20.67580789,-103.3513594,2020/03/16 11:53,2020/11/17 11:38
214,532,14,Av. Chapultepec ,20,0,Americana,44160,20.67595729,-103.3686256,2020/03/17 11:41,2021/10/06 12:55
215,532,14,Hidalgo,1375,0,Americana,44160,0,0,2020/03/17 11:45,2021/10/06 12:55
216,532,14,Héroes Ferrocarrileros,1325,0,La Aurora,44460,20.65380796,-103.3459425,2020/03/17 13:18,2020/10/28 12:23
217,532,14,Héroes Ferrocarrileros,138,0,La Aurora,44460,0,0,2020/03/17 16:21,2023/08/14 12:50
218,532,14,Av. Lopez de Legazpi,2007,------,Jardines de la Cruz,44950,20.6393005,-103.3807495,2020/03/20 11:22,2022/03/13 10:36
219,532,14,Miguel López de Legazpi ,2007,0,Jardines de la Cruz,44950,0,0,2020/03/20 11:30,2022/03/13 10:36
220,532,14,Av. Hidalgo,2308,0,Ladrón de Guevara,44690,20.67786615,-103.3483602,2020/04/27 13:44,2020/04/27 13:45
221,532,14,Av. Hidalgo,2308,0,Ladrón de Guevara,44690,20.67786615,-103.3483602,2020/04/27 13:46,2020/04/27 13:46
222,532,14,Av. Hidalgo,2308,0,Ladrón de Guevara,44690,20.67786615,-103.3483602,2020/04/27 13:47,2020/10/29 15:24
223,532,14,Toronto,1648,0,Providencia,44639,20.34474206,-103.3877924,2020/05/28 11:25,2021/06/04 14:45
224,547,14,La Paz,8,0,Juan Gil Preciado Etipac,45740,0,0,2020/05/28 12:11,2020/06/08 20:22
225,533,14,Egipcios ,308,0,Altamira,45160,0,0,2020/05/29 12:00,2023/07/26 10:52
226,532,14,Francisco I. Madero,729,0,Centro,44100,20.67341071,-103.3564142,2020/05/29 14:22,2021/10/05 11:14
227,533,14,Avenida Parres Arias,145,0,El Vigía,44157,20.73007728,-103.3884287,2020/05/29 14:25,2022/12/02 17:04
228,547,14,SIN DATO,0,0,SIN DATO,0,0,0,2020/06/02 15:42,2020/06/08 20:22
229,532,14,Ocampo ,73,0,Centro,44100,0,0,2020/06/19 14:12,2023/04/28 11:32
230,533,14,Marcelino Champagnat,2981,0,Loma Bonita,45086,0,0,2020/06/19 14:50,2023/05/24 10:40
231,544,14,El ramal la tijera,1768,0,Los Tulipanes,45645,20.59033643,-103.438468,2020/06/23 11:32,2020/07/29 16:12
232,532,14,SIN DATO,0,0,SIN DATO,0,0,0,2020/06/23 11:37,2020/07/29 16:12
233,532,14,Morelos,1514,0,Americana,44160,0,0,2020/06/23 13:22,2023/09/15 14:48
234,532,14,Morelos,570,0,Centro,44100,0,0,2020/06/24 12:11,2023/07/12 15:14
235,532,14,Morelos,1514,0,Americana,44160,0,0,2020/06/30 13:05,2023/09/15 14:47
